GeneID	106-r	106-r__1	106-r__2	106-s	106-s__1	106-s__2	713-r	713-r__1	713-r__2	713-s	713-s__1	713-s__2	WB-r	WB-r__1	WB-r__2	WB-s	WB-s__1	WB-s__2
GL50803_39358	2.62151814670892	3.55930638477042	2.84357836405332	3.98508648893139	3.00423100870769	2.87681077740176	2.25556729926598	2.31447082537882	2.48701685627151	2.64007788297387	3.21039805267483	2.29340419733368	3.0660869797809	3.10991104675165	3.35512066533041	3.36398202949116	2.22422128658212	3.19157680778027
GL50803_39373	22.056911303344	30.7256363129755	32.0027284305299	18.8562628988461	32.2311069648496	22.6035132510138	24.7384800564656	28.5451401796721	25.727760582119	30.1723186625585	29.7924939288224	34.9917882835608	11.9150468707941	14.9344079937415	17.459657054535	41.9169866043174	40.2213349323601	48.7480567215754
GL50803_39384	7.40126890557907	10.567793606338	9.74673899784065	10.8102760804622	7.30156887873484	6.03513803802069	6.39853510636936	5.1079669761315	5.11939555983199	9.62911834717226	8.26870122446929	6.3200659910765	6.43024418746961	4.13413120137964	6.67766734361878	13.821982478279	10.053850918899	10.1291029428292
GL50803_39394	2.84751109039073	3.74183491732275	3.81638148859788	1.55515570299762	1.67378584770857	1.84937835690113	4.0381930680407	4.48867069164377	4.75963570769202	2.41378549300468	3.68125643373381	2.60614113333372	2.67797470385926	2.18719018672644	1.75899530027031	2.92135281508442	3.70703547763687	5.50874901068924
GL50803_39412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.01818383479249	1.53786810004203	1.88929124843849	0.486892135847404	0.222422128658212	0.174880920974262
GL50803_39416	0.542383064836329	0.821378396485482	0.922915784824323	1.50655708727894	2.91839583703032	1.1507243109607	1.67348541558443	1.54298055025255	2.05822084656952	1.28232354315874	1.02732737685595	1.07720500177794	1.82412769683167	2.87068712007845	3.09452876899407	1.10657303601683	1.1862513528438	1.39904736779409
GL50803_39432	3.52548992143614	2.70750656619289	1.44673285188678	1.6523529344349701	1.71670343354725	1.39730809188085	2.72850882975723	2.87555466183429	2.6585352601523	1.69719292476891	1.07013268422494	1.14670209866684	2.40629611071412	2.80233742674325	2.37790105406913	1.50493932898289	1.44574383627838	0.874404604871308
GL50803_39450	6.37300101182686	6.08428441841098	6.70984719237143	8.65055359792425	5.10719271480307	5.30155128978324	6.65756154460764	6.03165124189632	5.91738493388738	5.8836021391989	6.03554833902868	6.81071549511213	6.24860764233828	5.6388497001541	4.03917439321331	5.40007641576212	5.85711605466626	3.97854095216445
GL50803_39469	1.89834072692715	2.00781385807562	2.89346570377355	1.06916954581086	1.24460998932176	0.739751342760452	2.80126906521742	3.22623205961896	3.21597007276488	0.79202336489216	0.299637151582984	0.590725323555644	2.2122399727533	1.53786810004203	1.69384732618623	0.796732585932116	0.370703547763687	0.524642762922785
GL50803_39479	2.48230649340093	1.93662773038022	2.99324038321402	2.41875310431848	2.25660666339786	2.05650873287406	3.00536152568326	2.43194775363668	2.5714896701828	2.38964763807463	2.72284560174195	3.01756394691601	1.75504371171762	1.55803125957591	1.56974043555604	1.66295795852609	2.29094792517959	1.74880920974262
